sma50_previous,stoch_rsi_14_current,class
243.188,100.0,1
243.18000000000004,95.6193041181328,1
243.182,100.0,0
243.19,100.0,1
243.2,91.26723929384715,1
243.21,100.0,0
243.226,91.04485588976624,0
243.23999999999995,91.04485588976624,0
243.25399999999996,80.65900828262838,0
243.264,47.10473139803856,1
243.264,18.114273800187064,1
243.266,87.27427147493471,1
243.28,50.63369496578653,0
243.278,16.25870698135886,1
243.272,0.0,1
243.266,19.99722085346585,1
243.266,52.247124095496886,1
243.272,65.41630055570515,1
243.28400000000002,77.31529121644724,0
243.29999999999995,42.492268864146226,1
243.308,73.85038129375035,0
243.318,73.85038129375035,1
243.32799999999997,48.20598456844496,0
243.38800000000003,34.68016337260493,0
243.41000000000003,59.07453707633842,1
243.422,81.57748574983876,0
243.442,81.57748574983876,1
243.50000000000003,100.0,1
243.598,21.344353790494093,0
243.596,85.16067082974463,1
243.596,47.872566859533364,1
243.59600000000003,100.0,1
243.594,100.0,0
243.83599999999998,51.17347630761281,1
243.864,60.38213367781202,0
243.898,53.64109123823603,0
244.086,56.73892330768643,0
244.12800000000004,28.074346063089763,1
244.19600000000003,27.14521603864653,1
244.22800000000004,55.02432458915143,1
244.362,49.9573019241618,0
245.93000000000004,0.0,0
245.924,40.685717256242974,0
245.972,96.13692187877035,0
245.98999999999995,83.65620794864253,0
246.03,88.33454660443716,1
246.088,100.0,1
246.108,100.0,0
246.122,90.65426261383531,1
246.188,45.71769207521586,1
246.20999999999995,45.14023347990386,0
246.214,0.0,1
246.212,0.0,0
243.8,92.20395515751265,0
243.72,2.7141294901922466,1
243.694,25.70314745084002,0
243.61,46.63159785095691,0
243.582,83.19099685973963,0
243.53000000000003,16.708620916030778,0
243.498,59.765692398602866,1
243.466,37.79479690772285,0
243.308,28.476996527708703,1
243.264,83.94939056617491,0
243.25600000000003,83.94939056617491,1
243.25800000000004,100.0,0
243.26800000000003,100.0,0
243.306,48.37268506164109,1
243.32,90.97026693738823,0
243.34,60.409908302721284,1
243.356,96.68050150455852,0
243.376,54.879864698513906,0
243.434,99.72813516405235,0
243.456,99.72813516405235,0
243.47599999999997,87.71818431464987,0
243.484,61.85059786979043,0
243.486,74.8558425022343,1
243.488,74.8558425022343,0
243.496,74.8558425022343,1
243.498,88.80712605132376,1
243.504,100.0,0
243.51,84.38039864214826,0
243.518,64.67527056395471,1
243.52599999999998,64.67527056395471,0
243.534,59.37525096117794,0
243.54000000000005,4.7328939332397075,0
243.54200000000003,4.7328939332397075,1
243.52,100.0,1
243.524,100.0,0
243.44,88.98375557720291,1
243.45,97.33353953636237,0
243.474,99.9887940515733,0
243.504,92.37089664886213,1
243.588,95.14327495117088,1
243.616,87.29779602613846,0
243.63,87.29779602613846,0
243.644,84.26482981448916,0
243.506,91.96335811126708,0
243.508,84.7822423933027,1
243.51799999999997,45.24559670624518,1
243.522,100.0,1
243.52599999999998,100.0,0
243.53800000000004,73.35173393948969,1
243.56600000000003,100.0,1
243.66,83.20548203416988,0
243.69,73.46664913090882,0
243.71599999999998,46.5799301717969,0
243.73799999999997,46.57993017179693,0
243.75799999999995,12.782206237349241,1
243.79,0.0,1
243.81,28.03718340851975,1
243.814,28.03718340851975,1
243.808,41.98050090227376,0
243.8,54.74475354537569,0
243.79999999999995,19.791215705546048,1
243.794,24.603018275446768,0
243.778,0.0,0
243.762,89.5093114708942,1
243.80200000000005,100.0,0
243.81600000000003,91.67590488561798,0
243.82599999999996,99.07300654103969,0
243.83,99.07300654103969,1
243.842,100.0,0
243.854,91.60310406029741,0
243.532,89.38507814669218,0
243.5,90.51016299775259,0
243.5,90.51016299775259,1
243.45,85.75895175068598,0
243.43600000000004,84.34089184237841,0
243.426,75.26046225985358,1
243.414,75.26046225985358,1
243.404,96.12914387171419,0
243.408,89.02189991712179,1
243.41599999999997,99.60371264094181,1
243.426,100.0,1
243.53800000000004,42.05776173905254,1
243.59000000000003,42.05776173905254,0
243.612,5.437578273662547,1
243.624,0.0,1
243.65000000000003,11.125949367706623,0
243.662,11.12594936770667,1
